bearer,predicate,artefact,n_sources,covered,smart_section,smart_component,extractors
Authority,Disclose,TechnicalDocumentation,5,True,All 7 sections,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,TemplateForm,1,True,All 7 sections,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,TransparencyInformation,7,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Disclose,Unknown_Artefact,15,False,,,regex-baseline-v2[Mandatory+Recommended]
Authority,Maintain,TransparencyInformation,1,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Maintain,Unknown_Artefact,1,False,,,regex-baseline-v2[Mandatory+Recommended]
Authority,Monitor,InvestigationReport,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authority,Monitor,SeriousIncidentReport,1,True,Section 6,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Monitor,TrainingDataDescription,1,True,Section 3,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Produce,ConformityAssessment,1,True,Section 7,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Produce,DecisionRecord,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authority,Produce,DeviceIdentifier,1,True,Section 1,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Produce,ElectronicSubmission,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authority,Produce,InvestigationReport,2,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authority,Produce,PostMarketSurveillancePlan,1,True,Section 6,Schema+Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Authority,Produce,RoleAssignment,1,True,N/A,Lifecycle+Chain,regex-baseline-v2[Mandatory+Recommended]
Authority,Produce,TechnicalDocumentation,2,True,All 7 sections,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Produce,Unknown_Artefact,17,False,,,regex-baseline-v2[Mandatory+Recommended]
Authority,RecordChange,Unknown_Artefact,1,False,,,regex-baseline-v2[Mandatory+Recommended]
Authority,Report,ContactInformation,1,True,Section 1,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Report,CorrectiveAction,9,True,Section 6,Schema+Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Authority,Report,DecisionRecord,3,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authority,Report,ElectronicSubmission,7,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authority,Report,InvestigationReport,5,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authority,Report,PostMarketMonitoringReport,3,True,Section 6,Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Authority,Report,RegulatorySandbox,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authority,Report,SeriousIncidentReport,1,True,Section 6,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Report,TransparencyInformation,1,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Report,Unknown_Artefact,24,False,,,regex-baseline-v2[Mandatory+Recommended]
Authority,RestrictUse,DeviceIdentifier,1,True,Section 1,Schema,regex-baseline-v2[Mandatory+Recommended]
Authority,Retain,Unknown_Artefact,1,False,,,regex-baseline-v2[Mandatory+Recommended]
Authority,Verify,RegulatorySandbox,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Authority,Verify,Unknown_Artefact,1,False,,,regex-baseline-v2[Mandatory+Recommended]
Deployer,Disclose,DeviceIdentifier,1,True,Section 1,Schema,regex-baseline-v2[Mandatory+Recommended]
Deployer,Disclose,GeneratedContentDisclosure,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Deployer,Disclose,Unknown_Artefact,2,False,,,regex-baseline-v2[Mandatory+Recommended]
Deployer,Maintain,TechnicalDocumentation,1,True,All 7 sections,Schema,regex-baseline-v2[Mandatory+Recommended]
Deployer,Monitor,TransparencyInformation,1,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Deployer,Report,PostMarketMonitoringReport,1,True,Section 6,Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Deployer,Report,TemplateForm,1,True,All 7 sections,Schema,regex-baseline-v2[Mandatory+Recommended]
Deployer,Report,Unknown_Artefact,4,False,,,regex-baseline-v2[Mandatory+Recommended]
Distributor,Report,Unknown_Artefact,2,False,,,regex-baseline-v2[Mandatory+Recommended]
Distributor,Verify,DeclarationOfConformity,2,True,Section 7,Schema,regex-baseline-v2[Mandatory+Recommended]
Importer,Disclose,TechnicalDocumentation,1,True,All 7 sections,Schema,regex-baseline-v2[Mandatory+Recommended]
Importer,Report,TransparencyInformation,1,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Importer,Report,Unknown_Artefact,1,False,,,regex-baseline-v2[Mandatory+Recommended]
Importer,Verify,DeclarationOfConformity,1,True,Section 7,Schema,regex-baseline-v2[Mandatory+Recommended]
Importer,Verify,ElectronicSubmission,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Importer,Verify,Registration,1,True,N/A,Lifecycle+Chain,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Assess,ChangeNotification,1,True,Section 7,Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Disclose,ChangeNotification,1,True,Section 7,Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Disclose,DeviceIdentifier,1,True,Section 1,Schema,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Disclose,ElectronicSubmission,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Disclose,PerformanceMetrics,1,True,Section 4,Schema,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Disclose,SeriousIncidentReport,1,True,Section 6,Schema,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Disclose,TransparencyInformation,4,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Disclose,Unknown_Artefact,3,False,,,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Maintain,ChangeControlPlan,1,True,Section 7,Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Maintain,DeviceIdentifier,2,True,Section 1,Schema,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Maintain,PostMarketMonitoringReport,1,True,Section 6,Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Monitor,PerformanceMetrics,1,True,Section 4,Schema,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Produce,ChangeControlPlan,5,True,Section 7,Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Produce,ChangeNotification,2,True,Section 7,Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Produce,DeclarationOfConformity,2,True,Section 7,Schema,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Produce,PerformanceMetrics,1,True,Section 4,Schema,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Produce,PostMarketMonitoringReport,1,True,Section 6,Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Produce,PostMarketSurveillancePlan,1,True,Section 6,Schema+Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Produce,RiskManagementSystem,3,True,Section 5,Schema,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Produce,TechnicalDocumentation,1,True,All 7 sections,Schema,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Produce,Unknown_Artefact,6,False,,,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Report,ChangeNotification,3,True,Section 7,Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Report,ConformityAssessment,1,True,Section 7,Schema,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Report,ElectronicSubmission,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Report,SeriousIncidentReport,1,True,Section 6,Schema,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Report,TechnicalDocumentation,1,True,All 7 sections,Schema,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Report,Unknown_Artefact,4,False,,,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,RestrictUse,PerformanceMetrics,1,True,Section 4,Schema,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,RestrictUse,Unknown_Artefact,1,False,,,regex-baseline-v2[Mandatory+Recommended]
Manufacturer,Retain,DeviceIdentifier,1,True,Section 1,Schema,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Assess,ChangeNotification,1,True,Section 7,Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Assess,ConformityAssessment,1,True,Section 7,Schema,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Assess,TechnicalDocumentation,4,True,All 7 sections,Schema,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Assess,Unknown_Artefact,2,False,,,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Disclose,ConformityAssessment,2,True,Section 7,Schema,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Disclose,DeviceIdentifier,2,True,Section 1,Schema,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Disclose,ElectronicSubmission,2,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Disclose,TechnicalDocumentation,4,True,All 7 sections,Schema,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Disclose,TransparencyInformation,1,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Disclose,Unknown_Artefact,3,False,,,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Maintain,ChangeNotification,2,True,Section 7,Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Monitor,Unknown_Artefact,3,False,,,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Produce,ConformityAssessment,6,True,Section 7,Schema,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Produce,DeviceIdentifier,1,True,Section 1,Schema,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Produce,InvestigationReport,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Produce,TechnicalDocumentation,2,True,All 7 sections,Schema,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Produce,Unknown_Artefact,12,False,,,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Report,ChangeNotification,1,True,Section 7,Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Report,ConformityAssessment,2,True,Section 7,Schema,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Report,DecisionRecord,3,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Report,ElectronicSubmission,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Report,TechnicalDocumentation,1,True,All 7 sections,Schema,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Report,Unknown_Artefact,6,False,,,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,RestrictUse,Unknown_Artefact,1,False,,,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Retain,DecisionRecord,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Verify,ConformityAssessment,1,True,Section 7,Schema,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Verify,PerformanceMetrics,1,True,Section 4,Schema,regex-baseline-v2[Mandatory+Recommended]
Notified_Body,Verify,Unknown_Artefact,3,False,,,regex-baseline-v2[Mandatory+Recommended]
Operator,Assess,CorrectiveAction,1,True,Section 6,Schema+Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Operator,Maintain,ElectronicSubmission,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Operator,Retain,DeviceIdentifier,1,True,Section 1,Schema,regex-baseline-v2[Mandatory+Recommended]
Provider,Assess,Unknown_Artefact,1,False,,,regex-baseline-v2[Mandatory+Recommended]
Provider,Disclose,TransparencyInformation,2,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Provider,Disclose,Unknown_Artefact,2,False,,,regex-baseline-v2[Mandatory+Recommended]
Provider,Maintain,TechnicalDocumentation,1,True,All 7 sections,Schema,regex-baseline-v2[Mandatory+Recommended]
Provider,Produce,DeclarationOfConformity,1,True,Section 7,Schema,regex-baseline-v2[Mandatory+Recommended]
Provider,Produce,PostMarketMonitoringReport,2,True,Section 6,Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Provider,Produce,TechnicalDocumentation,1,True,All 7 sections,Schema,regex-baseline-v2[Mandatory+Recommended]
Provider,Produce,Unknown_Artefact,3,False,,,regex-baseline-v2[Mandatory+Recommended]
Provider,Report,ChangeNotification,1,True,Section 7,Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Provider,Report,SeriousIncidentReport,1,True,Section 6,Schema,regex-baseline-v2[Mandatory+Recommended]
Provider,Report,Unknown_Artefact,3,False,,,regex-baseline-v2[Mandatory+Recommended]
Sponsor,Disclose,CybersecurityProvisions,1,True,Section 7,Schema,regex-baseline-v2[Mandatory+Recommended]
Sponsor,Disclose,DecisionRecord,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Sponsor,Disclose,DeviceIdentifier,1,True,Section 1,Schema,regex-baseline-v2[Mandatory+Recommended]
Sponsor,Disclose,IntendedUse,1,True,Section 2,Schema,regex-baseline-v2[Mandatory+Recommended]
Sponsor,Disclose,InvestigationReport,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Sponsor,Disclose,RiskManagementSystem,2,True,Section 5,Schema,regex-baseline-v2[Mandatory+Recommended]
Sponsor,Disclose,TechnicalDocumentation,3,True,All 7 sections,Schema,regex-baseline-v2[Mandatory+Recommended]
Sponsor,Disclose,TransparencyInformation,9,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Sponsor,Disclose,Unknown_Artefact,1,False,,,regex-baseline-v2[Mandatory+Recommended]
Sponsor,Maintain,ElectronicSubmission,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Sponsor,Produce,ElectronicSubmission,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Sponsor,Produce,InvestigationReport,2,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Sponsor,Produce,Unknown_Artefact,1,False,,,regex-baseline-v2[Mandatory+Recommended]
Sponsor,Report,ElectronicSubmission,3,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Sponsor,Report,IntendedUse,1,True,Section 2,Schema,regex-baseline-v2[Mandatory+Recommended]
Sponsor,Report,InvestigationReport,2,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Sponsor,Report,TransparencyInformation,1,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Sponsor,Report,Unknown_Artefact,2,False,,,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Assess,ConformityAssessment,2,True,Section 7,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Assess,RiskManagementSystem,1,True,Section 5,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Assess,TechnicalDocumentation,1,True,All 7 sections,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Assess,Unknown_Artefact,8,False,,,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Disclose,ChangeNotification,1,True,Section 7,Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Disclose,DeviceIdentifier,4,True,Section 1,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Disclose,ElectronicSubmission,2,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Disclose,HumanOversightProvisions,1,True,Section 7,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Disclose,LanguageLocalisation,1,True,N/A,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Disclose,Mandate,2,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Disclose,PerformanceMetrics,3,True,Section 4,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Disclose,SeriousIncidentReport,2,True,Section 6,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Disclose,TechnicalDocumentation,1,True,All 7 sections,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Disclose,TransparencyInformation,5,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Disclose,Unknown_Artefact,30,False,,,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Maintain,ChangeNotification,2,True,Section 7,Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Maintain,Unknown_Artefact,2,False,,,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Produce,ChangeControlPlan,1,True,Section 7,Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Produce,IntendedUse,1,True,Section 2,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Produce,LanguageLocalisation,2,True,N/A,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Produce,PostMarketMonitoringReport,1,True,Section 6,Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Produce,TransparencyInformation,1,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Produce,Unknown_Artefact,20,False,,,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,RecordChange,ElectronicSubmission,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,RecordChange,Unknown_Artefact,1,False,,,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Report,CorrectiveAction,2,True,Section 6,Schema+Lifecycle,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Report,DecisionRecord,2,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Report,ElectronicSubmission,5,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Report,TransparencyInformation,3,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Report,Unknown_Artefact,17,False,,,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Report,VersionLog,1,True,N/A,Lifecycle+Chain,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,RestrictUse,ConformityAssessment,1,True,Section 7,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,RestrictUse,InvestigationReport,1,True,N/A,N/A,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,RestrictUse,PerformanceMetrics,2,True,Section 4,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,RestrictUse,Unknown_Artefact,1,False,,,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,RestrictUse,VersionLog,1,True,N/A,Lifecycle+Chain,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Retain,DeviceIdentifier,2,True,Section 1,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Retain,Unknown_Artefact,3,False,,,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Translate,LanguageLocalisation,2,True,N/A,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Translate,Unknown_Artefact,1,False,,,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Verify,ConformityAssessment,1,True,Section 7,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Verify,TransparencyInformation,1,True,Sections 1-2,Schema,regex-baseline-v2[Mandatory+Recommended]
Unknown_Bearer,Verify,Unknown_Artefact,3,False,,,regex-baseline-v2[Mandatory+Recommended]
